epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,381.28,0.96862,0.58803,0.87213,0.84035,0.6309,0.73414,0.47029,0.91108,0.53484,0.83838,0.000666316,0.000666316,0.000666316
2,770.173,0.98399,0.59645,0.8792,0.84288,0.63564,0.73706,0.47436,0.91658,0.55237,0.84304,0.00131856,0.00131856,0.00131856
3,1160.12,0.99408,0.60141,0.88225,0.82959,0.62837,0.73219,0.46758,0.93536,0.55429,0.84763,0.00191407,0.00191407,0.00191407
4,1551.94,0.99534,0.60327,0.8796,0.83179,0.6318,0.72967,0.47301,0.90885,0.54744,0.84463,0.00181093,0.00181093,0.00181093
5,1940.69,0.99358,0.59933,0.87843,0.84235,0.63112,0.73118,0.47468,0.91573,0.53723,0.84281,0.00167244,0.00167244,0.00167244
6,2320.83,0.91505,0.54633,0.85811,0.83736,0.62637,0.72704,0.46971,0.9189,0.54368,0.84439,0.001505,0.001505,0.001505
7,2696.07,0.90403,0.53083,0.85466,0.83798,0.63397,0.73419,0.47744,0.91349,0.52578,0.84252,0.00131593,0.00131593,0.00131593
8,3074.04,0.89073,0.5198,0.85272,0.83188,0.63699,0.73487,0.47725,0.89965,0.52375,0.8403,0.00111348,0.00111348,0.00111348
9,3451.74,0.88193,0.51601,0.84728,0.8405,0.63351,0.73508,0.4772,0.88494,0.51789,0.83612,0.000906517,0.000906517,0.000906517
10,3828.52,0.86334,0.49884,0.84125,0.83639,0.63672,0.73745,0.48361,0.87745,0.50521,0.83434,0.000704073,0.000704073,0.000704073
11,4206.54,0.84912,0.48769,0.84048,0.83892,0.63683,0.73815,0.48582,0.86774,0.49729,0.83168,0.000515,0.000515,0.000515
12,4591.06,0.83215,0.47615,0.83571,0.84339,0.63643,0.73978,0.48892,0.85933,0.49207,0.83096,0.000347561,0.000347561,0.000347561
13,4955.97,0.82705,0.46988,0.83399,0.83901,0.63832,0.74013,0.49012,0.85203,0.4854,0.82973,0.000209073,0.000209073,0.000209073
14,5331.76,0.81784,0.46272,0.83279,0.8365,0.63651,0.73793,0.48979,0.84827,0.48346,0.82851,0.00010559,0.00010559,0.00010559
15,5711.42,0.80912,0.4579,0.82904,0.83695,0.63911,0.74061,0.49173,0.84709,0.48085,0.82833,4.16339e-05,4.16339e-05,4.16339e-05
